model,params,val_accuracy,val_macro_f1
Random Forest,"{'class_weight': 'balanced', 'max_depth': 10, 'min_samples_leaf': 3, 'n_estimators': 100}",0.6683673469387755,0.671212234155758
Random Forest,"{'class_weight': 'balanced', 'max_depth': 10, 'min_samples_leaf': 3, 'n_estimators': 300}",0.6673469387755102,0.6699425408002714
Random Forest,"{'class_weight': 'balanced', 'max_depth': 10, 'min_samples_leaf': 5, 'n_estimators': 100}",0.6489795918367347,0.65235195299279
Random Forest,"{'class_weight': 'balanced', 'max_depth': 10, 'min_samples_leaf': 5, 'n_estimators': 300}",0.6459183673469387,0.6490488349874719
Random Forest,"{'class_weight': 'balanced', 'max_depth': 20, 'min_samples_leaf': 1, 'n_estimators': 100}",0.6928571428571428,0.6916071353654875
Random Forest,"{'class_weight': 'balanced', 'max_depth': 20, 'min_samples_leaf': 1, 'n_estimators': 300}",0.7091836734693877,0.7072106113188266
Random Forest,"{'class_weight': 'balanced', 'max_depth': 20, 'min_samples_leaf': 3, 'n_estimators': 100}",0.6959183673469388,0.6977608786410269
Random Forest,"{'class_weight': 'balanced', 'max_depth': 20, 'min_samples_leaf': 3, 'n_estimators': 300}",0.6989795918367347,0.7007417678968951
Random Forest,"{'class_weight': 'balanced', 'max_depth': 20, 'min_samples_leaf': 5, 'n_estimators': 100}",0.6663265306122449,0.670309542300222
Random Forest,"{'class_weight': 'balanced', 'max_depth': 20, 'min_samples_leaf': 5, 'n_estimators': 300}",0.6653061224489796,0.6696061682943095
